23-03-2026 11:09:01 | WARNING  | docling.backend.msword_backend | Found DrawingML elements in document, but no DOCX to PDF converters. If you want these exported, make sure you have LibreOffice binary in PATH or specify its path with DOCLING_LIBREOFFICE_CMD.
23-03-2026 11:09:01 | WARNING  | docling.backend.msword_backend | Found DrawingML elements in document, but no DOCX to PDF converters. If you want these exported, make sure you have LibreOffice binary in PATH or specify its path with DOCLING_LIBREOFFICE_CMD.
23-03-2026 11:09:03 | INFO     | docling.document_converter | Finished converting document tmpkz8v6hss.docx in 2.50 sec.
23-03-2026 11:09:03 | INFO     | docling.document_converter | Finished converting document tmpkz8v6hss.docx in 2.59 sec.
23-03-2026 11:09:03 | INFO     | utils.doc_cache | DocCache SET  → 31111 chars cached
23-03-2026 11:09:04 | INFO     | utils.doc_cache | DocCache SET  → 31111 chars cached
23-03-2026 11:09:04 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 11:09:04 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 11:09:04 | WARNING  | docling.backend.msword_backend | Warning: image cannot be loaded by Pillow
23-03-2026 11:09:04 | INFO     | docling.document_converter | Finished converting document tmpe8yxapjv.docx in 2.97 sec.
23-03-2026 11:09:04 | INFO     | utils.doc_cache | DocCache SET  → 140682 chars cached
23-03-2026 11:09:04 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 11:10:27 | INFO     | agent.graph | ✅ [Parallel] Metadata done
23-03-2026 11:10:27 | INFO     | agent.graph | ✅ [Parallel] PO done
23-03-2026 11:10:27 | INFO     | agent.graph | ✅ [Parallel] Schedules done
23-03-2026 11:10:27 | INFO     | agent.graph | ⚡ [Parallel] All 3 extractions done in 108.0s
23-03-2026 11:10:27 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 11:11:12 | INFO     | agent.graph | =======================================================
23-03-2026 11:11:12 | INFO     | agent.graph | 🤖 Procurement Agent — DONE in 154.4s
23-03-2026 11:11:12 | INFO     | agent.graph | =======================================================
23-03-2026 11:11:12 | INFO     | backend.cache | Cache SET  → 95a1d8ae739a… (entries=1)
23-03-2026 11:11:12 | INFO     | utils.db | Run saved → agent_runs.id=4
23-03-2026 11:11:12 | INFO     | backend.worker | [Job 5afa52c1] ✅ Complete
23-03-2026 11:14:05 | INFO     | main | Shutting down process pool…
